date,NDVI,NDVI_smoothed
2020-06-04,0.09606215998044579,0.12018241849169327
2020-06-20,0.09158220861829318,0.11871531491889238
2020-06-27,0.11445224625401955,0.10301044744787266
2020-07-04,0.1256125309002769,0.10654313608830704
2020-07-06,0.08734309148632788,0.11336610447012356
2020-07-13,0.11372560318261761,0.10752347873456233
2020-07-20,0.1256970505273759,0.10333738809891599
2020-07-22,0.08523911757621336,0.11086041130340876
2020-07-29,0.10468207772204521,0.10503044969509086
2020-08-05,0.12495820750879169,0.10048354644813202
2020-08-07,0.08457579514102817,0.1073203364151829
2020-08-14,0.10296253429258163,0.1033943270196132
2020-08-21,0.11942306741146785,0.10002663179443667
2020-08-23,0.08505203074419664,0.10554284428669862
2020-08-30,0.10811973138290915,0.1020029463643557
2020-09-06,0.11215685760233783,0.10024088579110602
